sku,name,customer_review_average,customer_review_count,regular_price,category_path,url
6466019,"Furrion - Aurora 49"" Full Shade 4K LED Outdoor TV (2021)",4.9,8,1599.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6466019/pdp
6466021,"Furrion - Aurora 55"" Full Shade 4K LED Outdoor TV (2021)",4.3,7,1899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6466021/pdp
6473082,"Samsung - 65"" Class The Terrace Series QLED Outdoor Full Sun 4K UHD Smart Tizen TV (2021)",4.3,6,6999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6473082/pdp
6482022,"Insignia™ - 32"" Class F20 Series LED HD Smart Fire TV",4.7,9725,129.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6482022/pdp
6490138,"Insignia™ - 24"" Class F20 Series LED Full HD Smart Fire TV",4.5,2051,109.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6490138/pdp
6491295,"Insignia™ - 24"" Class F20 Series LED HD Smart Fire TV",4.6,4723,79.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6491295/pdp
6495086,"Insignia™ - 32"" Class F20 Series LED Full HD Smart Fire TV",4.6,2356,169.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6495086/pdp
6495088,"Insignia™ - 42"" Class F20 Series LED Full HD Smart Fire TV",4.6,3781,179.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6495088/pdp
6499677,"Sony - 65"" Class X80K LED 4K UHD Smart Google TV (2023)",4.7,1372,849.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6499677/pdp
6501321,"SunBriteTV - Veranda 3 Series 55"" Class LED Outdoor Full Shade 4K UHD Smart Android TV (2022)",4.0,11,2899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6501321/pdp
6501465,"SunBriteTV - Veranda 3 Series 65"" Class LED Outdoor Full Shade 4K UHD Smart Android TV (2022)",3.7,3,3649.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6501465/pdp
6501917,"LG - 65"" Class NanoCell 75UQA Series LED 4K UHD Smart webOS TV (2022)",4.4,268,899.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6501917/pdp
6501918,"LG - 55"" Class NanoCell 75UQA Series LED 4K UHD Smart webOS TV (2022)",4.4,269,699.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6501918/pdp
6501936,LG - 70” Class UQ75 Series LED 4K UHD Smart webOS TV (2022),4.6,683,529.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6501936/pdp
6504232,"Sony - 75"" Class BRAVIA XR Z9K Mini-LED 8K Smart Google TV (2022)",4.5,24,3499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504232/pdp
6504235,"Furrion - Aurora 43"" Full Shade Smart 4K UHD LED Outdoor TV (2022)",4.1,14,1399.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504235/pdp
6504250,"Furrion - Aurora 50"" Full Shade Smart 4K UHD LED Outdoor TV (2022)",3.0,4,1799.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504250/pdp
6504253,"Furrion - Aurora 55"" Full Shade Smart 4K UHD LED Outdoor TV (2022)",4.1,15,1999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504253/pdp
6504278,"Furrion - Aurora 50"" Partial Sun Smart 4K UHD LED Outdoor TV (2022)",3.0,2,2099.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504278/pdp
6504281,"Furrion - Aurora 55"" Partial Sun Smart 4K UHD LED Outdoor TV (2022)",4.4,13,2299.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504281/pdp
6504997,"Peerless-AV - 65"" Neptune Partial Sun 4K HDR Outdoor Smart TV – Comes with FREE Outdoor Tilting Wall Mount (2022)",4.8,212,2999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6504997/pdp
